accommodates,beds,bathrooms,number_of_reviews,review_scores_rating,neighbourhood_cleansed,tipologia,host_is_superhost,price,atratividade_bairro,dist_centro_km
2,1.0,1.0,328,4.87,Santa Maria Maior,T0,t,114.0,5,0.7108427138142933
3,2.0,1.0,208,4.8,Misericórdia,T0,t,131.0,5,1.475979091331516
2,1.0,1.0,161,4.61,Estrela,T0,f,77.0,4,1.891800808197306
2,1.0,1.0,285,4.81,Santa Maria Maior,T0,t,107.0,5,0.7108427138142933
3,1.0,1.0,88,4.86,Alcântara,T0,f,115.0,3,3.568064036488885
2,1.0,1.0,224,4.9,Santa Maria Maior,T0,t,99.0,5,0.6974084554923212
2,1.0,1.0,281,4.83,São Vicente,T0,f,78.0,4,1.1667968096897259
2,1.0,1.0,115,4.57,São Vicente,T0,f,61.0,4,0.9974298333440716
2,1.0,1.0,289,4.61,Santa Maria Maior,T0,f,56.0,5,0.7567174172309806
2,1.0,1.0,70,4.8,Santo António,T0,t,51.0,5,2.369136324734226
2,1.0,1.0,174,4.55,Estrela,T0,f,53.0,4,1.733816710481383
2,2.0,1.0,263,4.9,Misericórdia,T0,t,108.0,5,1.3986507976664078
2,0.0,1.0,118,4.23,São Vicente,T0,f,78.0,4,1.6350104762282887
2,2.0,1.0,282,4.7,Campo de Ourique,T0,f,59.0,3,2.041449435134079
4,1.0,1.0,0,4.6152753108348135,Santa Maria Maior,T0,f,131.0,5,0.26818601226642186
3,1.0,1.0,1,5.0,Santa Maria Maior,T0,f,117.0,5,0.26818601226642186
2,1.0,1.0,291,4.63,Santa Maria Maior,T0,f,62.0,5,0.8980139802761179
2,1.0,1.0,252,4.69,Arroios,T0,f,69.0,3,0.9737501468617876
2,1.0,1.0,183,4.74,Santa Maria Maior,T0,f,54.0,5,0.8222447235362041
2,2.0,1.0,408,4.53,Santa Maria Maior,T0,t,73.0,5,0.744563775575237
3,2.0,1.0,216,4.5,Misericórdia,T0,f,78.0,5,1.1599185533032639
2,1.0,1.0,84,4.67,Santo António,T0,t,97.0,5,1.6103193552058934
4,2.0,1.0,11,5.0,Misericórdia,T0,f,114.0,5,1.147142823583476
3,2.0,1.0,363,4.91,Santo António,T0,t,69.0,5,1.3700367276638603
2,1.0,1.0,224,4.83,Santa Maria Maior,T0,t,90.0,5,1.036171280083584
2,2.0,1.0,217,4.64,Misericórdia,T0,f,49.0,5,1.4965292433016069
2,1.0,1.0,71,4.86,Santa Maria Maior,T0,f,106.0,5,0.8741901341230659
2,1.0,1.0,51,4.9,Santa Maria Maior,T0,f,133.0,5,0.9135247068927357
3,1.0,1.0,192,4.88,Belém,T0,f,60.0,4,6.001362496766236
2,1.0,1.0,95,4.83,São Vicente,T0,t,75.0,4,1.3641789024283955
2,1.0,1.0,186,4.54,Arroios,T0,f,63.0,3,1.8641941845231877
2,1.0,1.0,83,4.48,Estrela,T0,f,64.0,4,2.3853423554555113
2,1.0,1.0,210,4.38,Santa Maria Maior,T0,f,51.0,5,1.1212136919454558
2,1.0,1.0,180,4.66,Estrela,T0,f,40.0,4,2.7065081288266155
2,1.0,1.0,44,4.61,Santa Maria Maior,T0,f,110.0,5,1.1023103060972315
2,1.0,1.0,40,4.53,Santa Maria Maior,T0,f,111.0,5,1.1023103060972315
4,2.0,1.0,1,5.0,Lumiar,T0,f,90.0,2,7.8710307559871975
2,1.0,1.0,125,4.64,Belém,T0,f,42.0,4,7.349271524766497
2,1.0,1.0,167,4.47,Santa Maria Maior,T0,f,60.0,5,0.7382232669907857
2,2.0,1.0,441,4.67,Arroios,T0,f,50.0,3,1.651728339935148
2,1.0,1.0,144,4.56,Lumiar,T0,f,90.0,2,6.5294243171283055
2,1.0,1.0,143,4.72,Estrela,T0,f,61.0,4,1.7441653352196431
2,1.0,1.0,189,4.89,Alcântara,T0,t,99.0,3,4.66347823961596
2,1.0,1.0,218,4.79,Arroios,T0,t,61.0,3,1.1291052486111235
2,1.0,1.0,92,4.79,Santo António,T0,f,62.0,5,1.455430903094321
2,1.0,1.0,275,4.83,Misericórdia,T0,t,110.0,5,1.0068650710442377
2,1.0,1.0,207,4.71,Misericórdia,T0,t,58.0,5,1.251013352536021
3,1.0,1.0,172,4.83,São Vicente,T0,t,83.0,4,0.8892396340835577
2,1.0,1.0,66,4.59,Santa Maria Maior,T0,f,100.0,5,0.8137655383301363
2,1.0,1.0,153,4.65,Santa Maria Maior,T0,f,100.0,5,0.6724566156735033
3,2.0,1.5,240,4.64,Santa Maria Maior,T0,f,61.0,5,0.7193008586402853
2,1.0,1.0,72,4.58,Santa Maria Maior,T0,f,48.0,5,0.7986589819609612
4,1.0,1.0,270,4.76,Misericórdia,T0,f,120.0,5,0.7354714701070472
2,1.0,1.0,257,4.66,Ajuda,T0,f,46.0,2,5.638159970646326
2,1.0,1.0,70,4.49,Santa Maria Maior,T0,f,42.0,5,1.140543872632322
2,1.0,1.0,195,4.62,Santa Maria Maior,T0,f,65.0,5,0.9516205168343863
2,1.0,1.0,15,5.0,Santa Maria Maior,T0,f,121.0,5,0.7480762547854624
2,1.0,1.0,273,4.83,São Vicente,T0,t,63.0,4,1.5464720754187187
2,1.0,1.0,107,4.74,São Vicente,T0,t,53.0,4,0.9432652655342426
4,2.0,1.0,0,4.6152753108348135,Belém,T0,f,73.0,4,5.906236542183483
4,2.0,1.0,29,4.45,Belém,T0,f,55.0,4,5.909253503255761
4,2.0,1.0,220,4.58,Santa Maria Maior,T0,f,87.0,5,0.7151574988184373
2,2.0,1.0,184,4.6,Misericórdia,T0,f,81.0,5,1.0044729463484723
3,2.0,1.0,265,4.74,Misericórdia,T0,f,89.0,5,0.8964749169192762
4,2.0,1.0,341,4.69,Santa Maria Maior,T0,f,114.0,5,0.6121418091223818
3,1.0,1.0,274,4.61,Arroios,T0,f,81.0,3,1.4393459528412431
3,1.0,1.0,177,4.62,Santa Maria Maior,T0,f,79.0,5,1.434625794266517
3,1.0,1.0,295,4.75,Misericórdia,T0,f,85.0,5,1.4706819574771237
3,4.0,1.0,149,4.85,Estrela,T0,f,95.0,4,1.9176703207684078
2,1.0,1.0,0,4.6152753108348135,Santo António,T0,f,70.0,5,1.5899976949742027
2,1.0,1.0,221,4.53,Santa Maria Maior,T0,t,54.0,5,1.0531513091944262
2,1.0,1.0,222,4.55,Santa Maria Maior,T0,t,54.0,5,1.0643974030642671
2,1.0,1.0,387,4.87,Santa Maria Maior,T0,t,72.0,5,1.1601743399024251
4,2.0,1.0,33,4.55,Belém,T0,f,60.0,4,5.919543174990496
2,1.0,1.0,428,4.86,Santa Maria Maior,T0,t,90.0,5,1.0660800727473547
2,1.0,1.0,387,4.84,Santa Maria Maior,T0,t,89.0,5,0.9139313849666524
2,2.0,1.0,130,4.66,Santa Maria Maior,T0,f,100.0,5,0.6232393659343723
2,1.0,1.0,220,4.84,Santa Maria Maior,T0,t,72.0,5,1.1082109195457654
1,1.0,1.0,146,4.75,Arroios,T0,f,66.0,3,2.008323184666475
2,1.0,1.0,85,4.85,São Vicente,T0,t,81.0,4,1.359814569289476
2,2.0,1.0,62,4.79,Santa Maria Maior,T0,f,58.0,5,1.177077373614182
3,2.0,1.0,232,4.41,Santa Maria Maior,T0,f,51.0,5,0.9214345302208312
2,1.0,1.0,24,4.79,Arroios,T0,f,46.0,3,3.0412187833797164
2,1.0,1.0,145,4.5,Santo António,T0,f,51.0,5,2.155985680181632
2,2.0,1.0,380,4.96,Santo António,T0,t,91.0,5,1.3536182464179785
2,1.0,1.0,206,4.81,Estrela,T0,t,62.0,4,2.7993801298305394
3,2.0,1.0,249,4.71,Misericórdia,T0,f,51.0,5,1.1948467736825226
3,2.0,1.0,81,4.52,Belém,T0,f,49.0,4,5.814711231336795
2,1.0,1.0,539,4.76,Campolide,T0,f,86.0,3,3.342511371735483
3,2.0,1.0,155,4.97,Santo António,T0,t,67.0,5,1.3565100320293617
2,1.0,1.0,102,4.72,Alcântara,T0,f,63.0,3,4.931682432246129
2,1.0,1.0,23,4.48,Belém,T0,f,35.0,4,5.896747573609398
4,2.0,1.0,45,4.24,Belém,T0,f,35.0,4,5.908727232997506
4,3.0,1.0,9,4.44,Santa Maria Maior,T0,f,114.0,5,0.14666922689457143
4,2.0,1.0,3,4.67,Santa Maria Maior,T0,f,114.0,5,0.12216810808606415
2,2.0,1.0,30,4.47,Santa Maria Maior,T0,f,114.0,5,0.11011375093556731
3,2.0,1.0,105,4.82,Misericórdia,T0,f,100.0,5,0.8875755199600229
2,1.0,1.0,22,4.05,Estrela,T0,f,67.0,4,2.7305946041767655
2,1.0,1.0,82,4.78,São Vicente,T0,t,72.0,4,1.3629009769281129
3,2.0,1.0,184,4.71,Ajuda,T0,f,47.0,2,5.697972704340578
2,1.0,1.0,150,4.59,Santa Maria Maior,T0,f,39.0,5,0.9046197019142145
2,1.0,1.0,232,4.76,Santa Maria Maior,T0,f,78.0,5,0.9718729035586325
2,1.0,1.0,211,4.82,Santa Maria Maior,T0,f,79.0,5,1.014919602036166
2,1.0,1.0,226,4.45,Penha de França,T0,f,42.0,2,2.0107831601138018
2,1.0,1.0,136,4.5,Santa Maria Maior,T0,f,35.0,5,0.9251394632799546
2,1.0,1.0,117,4.58,Santo António,T0,f,64.0,5,1.7539329213376538
2,1.0,1.0,27,4.67,Santa Maria Maior,T0,t,86.0,5,0.8078264036058985
2,2.0,1.0,164,4.9,Parque das Nações,T0,t,74.0,3,8.165155587181026
4,2.0,1.0,38,4.53,Santo António,T0,f,69.0,5,2.041471331488989
2,1.0,1.0,22,4.73,Penha de França,T0,f,55.0,2,2.7084677611640164
2,1.0,1.0,94,4.51,Santa Maria Maior,T0,f,54.0,5,0.2203444404810491
2,1.0,1.0,201,4.85,Santa Maria Maior,T0,t,84.0,5,0.8279956600559784
2,1.0,1.0,128,4.89,Santa Maria Maior,T0,t,77.0,5,0.929635438132586
2,1.0,1.0,272,4.95,Santa Maria Maior,T0,t,108.0,5,0.28314915065249946
4,2.0,1.0,46,4.72,Santo António,T0,f,83.0,5,1.9262253982867696
2,1.0,1.0,152,4.52,Estrela,T0,t,53.0,4,2.476332890698866
4,2.0,1.0,65,4.46,Santo António,T0,f,74.0,5,2.1096311141536805
4,2.0,1.0,91,4.74,Santo António,T0,f,74.0,5,2.0444290822019657
2,1.0,1.0,99,4.18,Santo António,T0,f,76.0,5,1.4319364097828227
2,1.0,1.0,217,4.78,Misericórdia,T0,f,99.0,5,0.9902115379819012
2,2.0,1.0,70,4.66,Arroios,T0,f,84.0,3,1.9854161256138794
2,1.0,1.5,226,4.92,Santa Maria Maior,T0,t,130.0,5,0.38632126993347976
2,1.0,1.0,59,4.44,Alcântara,T0,f,67.0,3,3.3832466056186847
3,1.0,1.0,256,4.65,Beato,T0,f,50.0,2,3.961157207068059
2,1.0,1.0,39,4.18,Alcântara,T0,f,60.0,3,3.4605125594539166
4,2.0,1.0,49,4.71,Santo António,T0,f,83.0,5,2.1350740185705077
2,1.0,1.0,222,4.69,Santa Maria Maior,T0,f,50.0,5,1.0184947291701458
4,2.0,1.0,40,4.78,Santo António,T0,f,83.0,5,2.0344126230852644
1,1.0,1.0,130,4.1,Santa Maria Maior,T0,f,49.0,5,1.0145844594706706
4,2.0,1.0,38,4.66,Santo António,T0,f,74.0,5,2.1268227356902583
2,1.0,1.0,145,4.45,Santa Maria Maior,T0,f,65.0,5,1.1945163671095709
2,1.0,1.0,197,4.84,Estrela,T0,t,76.0,4,2.0190086676540555
2,1.0,1.0,181,4.81,Estrela,T0,t,65.0,4,2.0190086676540555
2,1.0,1.0,63,4.14,Ajuda,T0,f,80.0,2,5.705548008483655
2,1.0,1.0,2,4.0,Misericórdia,T0,f,75.0,5,1.0672963827464252
2,1.0,1.0,0,4.6152753108348135,Misericórdia,T0,t,138.0,5,1.3389082467351965
2,1.0,1.0,220,4.6,Alcântara,T0,f,67.0,3,3.435207337635667
2,2.0,1.0,186,4.66,Santa Maria Maior,T0,f,93.0,5,0.4353802014504146
2,1.0,1.0,128,4.5,Santa Maria Maior,T0,f,73.0,5,0.40544747660875197
2,1.0,1.0,78,4.83,Ajuda,T0,t,74.0,2,5.689751658074656
2,1.0,1.0,50,4.54,Santo António,T0,f,72.0,5,2.0357191361293907
2,1.0,1.0,21,4.38,São Vicente,T0,f,93.0,4,1.6296211198831811
2,1.0,1.0,301,4.93,Estrela,T0,t,68.0,4,1.931990148996264
2,1.0,1.0,64,4.58,Ajuda,T0,f,90.0,2,5.712574426425652
2,1.0,0.0,72,4.25,Belém,T0,f,55.0,4,6.965300482375333
2,1.0,1.0,219,4.65,Santa Maria Maior,T0,f,67.0,5,0.687379888314291
2,2.0,1.0,27,4.3,São Vicente,T0,f,50.0,4,1.7292619969901157
6,3.0,1.0,22,4.59,São Vicente,T0,f,26.0,4,1.2511142881297779
2,1.0,1.0,63,4.62,Santa Maria Maior,T0,f,55.0,5,0.6847668386277659
2,1.0,1.0,238,4.88,Misericórdia,T0,t,120.0,5,1.5075947556269003
2,1.0,1.0,266,4.88,Misericórdia,T0,t,119.0,5,1.5195863867656505
2,1.0,1.0,191,4.87,Misericórdia,T0,t,119.0,5,1.4803969546690272
3,2.0,1.0,60,4.67,Santa Maria Maior,T0,f,134.0,5,0.8086507787522512
2,2.0,1.0,11,4.55,Santa Maria Maior,T0,f,113.0,5,0.6968481660133589
3,2.0,1.0,50,4.82,Santa Maria Maior,T0,f,118.0,5,0.7180260993893604
3,3.0,1.0,11,4.73,Santa Maria Maior,T0,f,107.0,5,0.6993181747598088
